Request no,Day,Time of day,Request location,Initial diagnose time,Needs Replacement?,On-site repair time
1,1,0.239112741,BC_10,12.63301962,,22.12529018
2,1,1.139550272,BC_1,19.48650134,yes,
3,1,1.309831447,BC_5,16.1615503,,7.349665191
4,1,1.458688659,BC_4,17.99124779,,31.83550896
5,1,1.754375691,BC_5,16.73639425,,10.73393316
6,1,2.561563406,BC_9,33.64122656,,17.07556972
7,1,3.379496723,BC_9,23.18357463,,35.06859513
8,1,3.632235,BC_4,16.99183251,,37.30851134
9,1,3.75439479,BC_5,17.10421095,,39.83938795
10,1,4.72090664,BC_10,18.24904755,,33.00331035
11,1,4.881306796,BC_5,17.22134054,yes,
12,1,4.97730382,BC_6,15.4440131,yes,
13,1,5.015898645,BC_5,19.59025733,,60.14881601
14,1,5.020659175,BC_9,12.16439968,,8.966096132
15,1,5.149212211,BC_4,15.276083,,14.91293566
16,1,5.273025311,BC_8,16.2356268,,15.04891153
17,1,5.442188558,BC_5,18.65297502,,20.25977405
18,1,5.522354687,BC_4,15.73890455,,20.6840032
19,1,5.52753304,BC_10,16.98253634,,20.44578847
20,1,5.703388768,BC_4,15.87341097,,27.01033357
21,1,5.709458799,BC_9,25.17139551,yes,
22,1,5.816475104,BC_9,28.90768521,,24.11969301
23,1,6.25602836,BC_3,34.69118867,,26.96270832
24,1,6.448589386,BC_7,17.99180712,,43.14059204
25,1,6.602725025,BC_5,17.97913849,yes,
26,1,6.875382404,BC_7,19.36507758,,31.76704166
27,1,6.879948169,BC_4,15.44003394,,33.3657827
28,1,7.118248744,BC_10,18.31115567,,33.36120071
29,1,7.158880865,BC_4,17.72900609,,28.28664924
30,1,7.716740209,BC_7,11.95577859,,6.430361155
31,1,7.782941522,BC_8,12.73535787,,11.78902606
32,1,7.842814293,BC_7,13.16861454,,6.543757967
33,1,7.948720874,BC_2,24.9922521,,16.14984241
34,1,7.952670902,BC_4,18.51869142,,39.47151447
35,1,8.154150015,BC_9,25.50512766,,35.39086037
36,1,8.180865839,BC_9,16.39287179,,56.90099385
37,1,8.42952412,BC_9,20.57411602,,14.49426885
38,1,8.451965078,BC_4,12.95754451,,22.90745121
39,1,8.532656334,BC_6,17.32723036,yes,
40,1,8.631620995,BC_5,11.88476195,yes,
41,1,8.802152423,BC_10,11.8852551,,31.64711844
42,1,8.824394528,BC_10,12.37552854,,33.38585997
43,1,8.865525308,BC_7,9.611028481,yes,
44,1,9.000366194,BC_3,24.7781362,,26.41321013
45,1,9.154807853,BC_6,12.93274343,yes,
46,1,9.322275419,BC_5,9.921271771,,14.42986346
47,1,9.364440141,BC_10,13.7352572,,4.881134645
48,1,9.926901971,BC_10,19.25988289,,15.09549756
49,1,10.03843015,BC_10,17.44639498,,26.81005014
